Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
#AGGP - Graduate Data Scientist & Quality Analyst (M/F),40 k € - 45 k € (Esti. de Glassdoor),"Job Description:
Every year we look for university graduates from around the world to join Airbus. We need people with the aspiration, enthusiasm and the talent to help us move forward and to change the world and deliver our vision to pioneer sustainable aerospace for a safe and united world.
When you begin your career with us, we accelerate your development through our Airbus Global Graduate Programme experience. You are part of a 2 year programme where you develop your professional skills; build your networks locally and internationally; and gain a unique perspective on the world of Airbus.
You are part of a global community, so we bring you together once a year for a global graduate conference where you meet your peers, hear from our leaders and learn from the best.
We are hiring the graduates we need to fill the critical roles for our future.




Airbus Helicopters SAS
Permanent Contract / CDI / Unbefristet / Contrato indefinido
Entry Level / Débutant / Anfänger / Recién titulado
Information Mgmt and Digital Technology <JF-IM-DI>",4.1,"Airbus
4.1",Marseille,Plus de 10 000 employés,1970,Entreprise cotée en bourse,Aérospatiale et Défense,Aérospatiale et Défense,Plus de 10 milliards de dollars US
Data Scientist Climat H/F,-1,"Le Groupe
Generali, l’un des leaders mondiaux de l’assurance, accompagne plus de 65 millions de clients à travers le monde.
Qu’ils soient particuliers, professionnels ou entreprises, nous proposons à nos clients une gamme de solutions d’assurance flexibles et durables, qui protègent les biens comme les personnes, en local comme à l’international.
Le Groupe Generali joue un rôle actif dans la création d’un avenir durable. Tout en poursuivant un objectif de développement économique, Generali œuvre pour l’amélioration continue des conditions économiques, sociales et environnementales des parties prenantes avec lesquelles il interagit. Notamment, le Groupe incite ses parties prenantes à une pleine conscience de l’impact des risques liés au changement climatique qui pèse sur tous les pans de l’activité.",3.7,"Generali
3.7",Saint-Denis,Plus de 10 000 employés,1831,Entreprise cotée en bourse,Sociétés d''assurance,Assurance,Plus de 10 milliards de dollars US
IT Data Scientist,-1,"Référence de l’offre
220002FK
Type de contrat
CDI
Niveau d'expérience
Expérimentés
Société du groupeAXA Investment Managers
Famille métierData Science
Localisation",4.3,"AXA
4.3",Puteaux,Plus de 10 000 employés,1985,Entreprise non cotée en bourse,Sociétés d''assurance,Assurance,Entre 25 et 50 millions de dollars US
Data Scientist (H/F) - CDI - Paris,-1,"Référence de l’offre
21000CJZ
Type de contrat
CDI
Niveau d'expérience
Expérimentés
Société du groupeGIE AXA
Famille métierData Science
Localisation",4.3,"AXA
4.3",Puteaux,Plus de 10 000 employés,1985,Entreprise non cotée en bourse,Sociétés d''assurance,Assurance,Entre 25 et 50 millions de dollars US
Ingénieur Data Scientist junior - F/H,32 k € - 42 k € (Esti. de Glassdoor),"Description de l'entreprise

La mission de CS GROUP : être à la pointe des technologies pour garantir la sécurité de tous dans un monde en pleine mutation. L'expertise reconnue du groupe lui permet d'intervenir là où les enjeux de sécurité sont les plus sensibles : aéronautique, défense, énergie, spatial… Et, aussi, là où les réponses sont à inventer ou à réinventer : lutte anti-drones, cybersécurité, traitement de données satellitaires…

Description du poste

Nous recrutons un/une pour rejoindre notre Business Unit au sein de la Business Line . Elle accompagne nos clients dans leurs problématiques associées à la transformation digitale. Nos offres se déclinent autour de la data intelligence & de la maintenance prédictive, de la digitalisation des processus industriels et du SI Métiers.",3.5,"CS GROUP
3.5",Toulouse,De 1 001 à 5 000 employés,1968,Entreprise non cotée en bourse,Services informatiques,Informatique,Entre 100 et 500 millions de dollars US
DATA ANALYST / SCIENTIST (H/F) / Freelance,Salaire fourni par l'employeur:44 € - 56 € Par heure,En binôme avec un développeur Java EE : - Participer à la quête des sources de données pertinentes - Extraire et traduire des données business en données statistiques - Participer à la modélisation et assurer les mises à jour régulières de la base de données - Contrôler la qualité des données - Analyser les informations chiffrées générées par l'activité de l'entreprise et de ses opérateurs clients - Synthétiser et vulgariser les informations pour les rendre accessibles - Proposer des recommandations sur les bases de données à modifier - Outil : Power BI,-1,FRISBEE PROFILING,Saint-Maur,De 1 à 50 employés,2016,Entreprise non cotée en bourse,Services informatiques,Informatique,Ne sait pas / non applicable
Data Scientist (M/W) - REMOTE / Freelance,-1,"Contexte : My client is currently looking for an experienced Data Scientist to work on algorithms and DS stream. Mission : - Build Data Science Algorithms - Develop models for computer vision - Use Machine Learning to detect defaults in the production chain Profil : - Experience in Machine Learning - Solid background in Computer vision - Pytorch - Knowledge of predictif algorithms and models building - English Benefits : - Starting date ASAP - Full remote - 3 months mission - Rate on profils If you are interested, please feel free to reach out to me at the following contact details: Valentin Cochet Talent Acquisition Specialist Data & Business Intelligence Microsoft Technologies +XX XXXXXXXXX XXXXXXX@XXXXXXXXXXXXXXXXXX",3.8,"Club Freelance
3.8",Télétravail,De 1 à 50 employés,2014,Entreprise non cotée en bourse,Conseils,Services aux entreprises,Entre 10 et 25 millions de dollars US
Data scientist confirmé AIX EN PROVENCE H/F,-1,"Capgemini, qu’est-ce que cela évoque pour vous ? Pour nous, c’est une success story à la française ! Celle d’une startup devenue une référence mondiale en matière de conseil et de services informatiques.
Notre entité Engineering a pour mission de fournir des solutions logicielles et physiques globales pour permettre à nos clients industriels de migrer vers l’industrie 4.0.
Envie d’en savoir plus ? C’est par ici que ça se passe !
VOTRE RÔLE, VOTRE AVENIR ?

Notre agence basée à Aix-en-Provence accroit son activité en adressant de nouveaux projets Data Analytics pour l'industrie. Dans ce cadre, nous souhaitons renforcer notre équipe Data et nous vous proposons d'intégrer notre équipe en tant que .",3.6,"Capgemini
3.6",Aix,Plus de 10 000 employés,1967,Entreprise cotée en bourse,Solutions logicielles et réseau d''entreprise,Informatique,Entre 1 et 2 milliards de dollars US
Data Scientist junior H/F,42 k € - 60 k € (Esti. de Glassdoor),"Systèmes d'Information
PARIS LA DEFENSE-TOUR INITIALE(FRA)
France
Description du poste


TotalEnergies recherche un(e) Data Scientist junior. Le poste est basé à La Défense.
Pour réussir à intégrer les métiers de l’électricité et des énergies renouvelables, TotalEnergies a créé une nouvelle entité OneTech qui regroupe l'ensemble des expertises techniques et de R&D des branches (Exploration & Production, Raffinage Chimie, Marketing & Services et Gas, Renewables & Power). Avec près de 3 400 ingénieurs et techniciens répartis sur plusieurs sites en Europe, OneTech est organisé autour de 3 pôles, un pôle industriel pour accompagner la croissance de la Compagnie dans le gaz, les énergies renouvelables, l’électricité et la réduction des émissions de CO2, un pôle Recherche & Développement pour poursuivre la transformation de TotalEnergies en donnant la priorité au mix bas carbone et un pôle fonctions supports.

Dans un contexte de mutation technologique rapide et de transformation digitale de la Compagnie , vous serez amené à coordonner des activités récurrentes (réception, chargement, recherche et mise à disposition de données), à assurer le suivi technique de bases de données et à optimiser et automatiser des workflows au large périmètre des données industrielles. Vous serez moteur pour assurer la transformation digitale.

Rattaché (e ) au responsable d’équipe Technical Document, au sein d’une équipe d’environ dix personnes travaillant sur des projets Data Sciences, vos principales missions sont les suivantes :",4.0,"TotalEnergies
4.0",Paris,Plus de 10 000 employés,1924,Entreprise cotée en bourse,Énergie,"Pétrole, gaz, énergie et services publics",Entre 25 et 50 millions de dollars US
Data Scientist H/F,-1,"Toulouse
CDI
Description du poste
Vous cherchez à rejoindre une équipe dynamique sur Toulouse ? Travailler dans un environnement Start Up avec les avantages d’une structure en pleine croissance telle que SOLUTEC ? Alors ce poste est fait pour vous !
Nous recherchons pour notre agence Toulousaine un(e) Data Scientist. Vous aurez pour missions :
Collecte des besoins des équipes métiers en termes d’analyse de données pertinentes pour l’entreprise
En tant que consultant, votre rôle comprendra également des aspects plus globaux, comme la veille technologique et le conseil auprès du client sur de nouveaux outils.
Issu(e) d'une formation ingénieur ou d'un cursus universitaire (Bac+4 /Bac+5, vous avez un vrai attrait pour les données. Vous avez dans l'idéal une bonne connaissance sur le langage Python (et/ou R). Attrait pour la Business Intelligence et les outils type Talend, Power BI, Qliksense, Tableau etc.",3.2,"Solutec
3.2",Toulouse,De 1 001 à 5 000 employés,Entreprise cotée en bourse,Services informatiques,Informatique,Entre 50 et 100 millions de dollars US,-1
