Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Data Scientist (Remote),$54K - $129K (Glassdoor est.),"Join us as we pursue our vision to eliminate preventable sickness and transform kidney care using AI and data!

At pulseData, we provide value-based healthcare organizations and their care teams a patented data intelligence platform which helps deliver better care at less cost. As a company, we leverage data science and machine learning for Hospitals and Healthcare companies, to identify patients at risk of costly and avoidable medical outcomes.

In this role, you will become a member of pulseData's data science team. You'll work on a suite of data science projects to meet the needs of our clients and get to contribute in massive ways towards a growing organization.",5.0,"pulseData
5.0","New York, NY",1 to 50 Employees,2015,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
Sr Data Scientist,$112K - $245K (Glassdoor est.),"Remote, United States
Los Gatos, California
Data Science and Engineering
At Netflix, our mission is to entertain the world. With 200+ million paid members in over 190 countries enjoying TV series, documentaries, and feature films across a wide variety of genres and languages, Netflix is reinventing entertainment from end to end. We are revolutionizing how shows and movies are produced, pushing technological boundaries to efficiently deliver streaming video at a massive scale over the internet, and continuously improving and personalizing how content is presented around the globe.

We are seeking Sr Data Scientists for a range of teams within Data Science and Engineering. From owning experimentation within the Open Connect network, building sophisticated tools on a world-class experimentation platform to provide seamless quality of experience, driving Growth and Membership of Netflix Platform, to unlocking the power of data in highly creative editorial creative space, evaluating the performance and optimizing personalization algorithms to deliver recommendations or building sophisticated experimentation tools - we have a few areas within which we are seeking Data Scientists driven by curiosity and passionate about working with a range of stakeholders.",4.3,"Netflix
4.3","Los Gatos, CA",5001 to 10000 Employees,1997,Company - Public,Internet,Information Technology,$5 to $10 billion (USD)
Data Scientist,$98K - $200K (Glassdoor est.),"locations
San Francisco
Boston
San Jose
Seattle
Los Angeles
View All 8 Locations
time type
Full time
posted on
Posted 11 Days Ago
job requisition id",4.4,"Adobe
4.4","San Francisco, CA",10000+ Employees,1982,Company - Public,Computer Hardware & Software,Information Technology,$5 to $10 billion (USD)
Dashboard Data Scientist,Employer Provided Salary:$52K - $130K,"Chancellor's Office Statement
Join our team at the California State University, Office of the Chancellor, and make a difference in providing access to higher education. We are currently seeking experienced candidates for the position of Dashboard Data Scientist. The CSU Chancellor's Office, located on the waterfront adjacent to the Aquarium of the Pacific in downtown Long Beach, is the headquarters for the nation's largest and most diverse system of higher education. The CSU Chancellor's Office offers a premium benefit package that includes outstanding vacation, health, and dental plans; a fee waiver education program; membership in the California Public Employees Retirement System (PERS); and 14 paid holidays a year.",4.2,"California State University
4.2","Long Beach, CA",10000+ Employees,1962,College / University,Colleges & Universities,Education,$2 to $5 billion (USD)
Junior Data Scientist,Employer Provided Salary:$52K - $109K,"We are looking for a Data Scientist to analyze large amounts of raw information to find patterns that will help improve our company. We will rely on you to build data products to extract valuable business insights.
In this role, you should be highly analytical with a knack for analysis, math and statistics. Critical thinking and problem-solving skills are essential for interpreting data. We also want to see a passion for machine-learning and research.
Your goal will be to help our company analyze trends to make better decisions.
Responsibilities
Identify valuable data sources and automate collection processes",-1,KesarWeb,"Oklahoma City, OK",1 to 50 Employees,-1,-1,-1,-1,-1
Data Scientist,$85K - $148K (Glassdoor est.),"FocusKPI is looking for a Data Scientist to work for our client, one of the largest retailers/E-Commerce companies in the US. We are seeking an experienced data science individual contributor to enable deep insights and capabilities to our clients through advanced analytics and machine learning techniques (e.g. predictive modeling, segmentation, etc.) This is a full-time contract position.
Work Location: Remote, until office reopens.
Duration: Six months contract with potential for extension or conversion.
Responsibilities:
Perform hands-on modeling and complex analyses using Python, SQL and/or R",3.4,"FocusKPI Inc.
3.4","San Bruno, CA",51 to 200 Employees,-1,-1,-1,-1,-1
Junior Data Scientist,$75K - $149K (Glassdoor est.),"About ClimateAi
ClimateAi is on a mission to accelerate resilience in food, water, and energy. The company has launched the first of its kind Resilience-as-a-Service platform in agriculture to help supply chains adapt to climate change. The company was founded at Stanford University and is backed by top VC firms. We are a fast-growing Series-A company looking for passionate individuals who will create solutions for the most important issue of our time.

Culture",5.0,"ClimateAI
5.0","San Francisco, CA",1 to 50 Employees,-1,-1,-1,-1,-1
Data Scientist,Employer Provided Salary:$40 - $60 Per Hour,"Job Title: Data Scientist
Responsibilities:
REQUIRED
Comfortable building and maintaining data pipelines using SQL and Python.
Storage of Machine Learning flow models, data, and parameters
Translating business requirements into technical solutions
Track record of partnering with Data Scientists to deliver on business goals",4.2,"WorkCog
4.2","California City, CA",51 to 200 Employees,2017,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable
Data Scientist,$77K - $162K (Glassdoor est.),"Overview
IXIS is seeking an energetic, innovative quantitative researcher with fluency in machine learning and classical statistics and a proven ability to execute analytic initiatives to fill the position of Associate Data Scientist for the company. Depending on candidate preference, this position may be full-remote or onsite at our office in Burlington, VT. The core responsibilities for this role include working with a team to design sophisticated quantitative solutions—frequently through integration of novel data sources—and executing these solutions programmatically and reproducibly. The ideal candidate will combine deep technical expertise in programmatic statistical analysis and predictive modeling with strong data IQ to create data-driven visuals and narratives that answer client questions.",4.1,"IXIS Digital
4.1","Burlington, VT",1 to 50 Employees,-1,-1,-1,-1,-1
Data Scientist,Employer Provided Salary:$127K,"About Lark
Lark is the world's largest A.I. healthcare provider, servicing nearly 2 million patients living with or at risk of a chronic disease. Lark is a companion app on the user's phone providing real-time coaching, guidance, and health insights to users. We are on a mission to disrupt the healthcare industry and make the world a healthier, happier place. Come join our team!
The Role
We are looking for talented individuals who have post graduate working experience as a Data Scientist to join our growing team! In this role you'll work with the data, product, and business teams to analyze user behavior cohorts, and give recommendations on the best action to take for improving outcomes for our users, and for the business.",4.3,"Lark Health
4.3","Mountain View, CA",51 to 200 Employees,2011,Company - Private,Health Care Services & Hospitals,Health Care,$25 to $50 million (USD)
