,Job Title,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,hourly,Employer Provided,min salary,max salary,avg salary,State,Age,Python,R,SQL,Machine Learning,Deep Learning,Big Data,Statistic,Math,Master,AWS,SPARK,Job simplified,Seniority,job desc len
0,Data Scientist,"We are looking for a Data Scientist to analyze large amounts of raw information to find patterns that will help improve our company. We will rely on you to build data products to extract valuable business insights. In this role, you should be highly analytical with a knack for analysis, math and statistics. Critical thinking and problem-solving skills are essential for interpreting data. We want to see a passion for machine-learning and research. Your goal will be to help our company analyze trends to make better decisions.
Responsibilities
Identify valuable data sources and automate collection processes",4.2,workcog inc,Remote,51 to 200 Employees,2017,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,1,1,120,160,140.0,Remote,5,0,1,0,0,0,0,1,1,0,0,0,data scientist,na,611
1,Data Scientist,"We are looking for a highly motivated and experienced Data Scientist to assist with developing the next-generation AI/ML operational platforms for Credit Risk/rating Modeling. The role will require hands-on experience with development of Consumer Credit Rating Models and its optimization, automation of Credit rating scorecard models, specifying machine learning workflows, feature extraction/feature definition, data validation, and model lifecycle management
Job Types: Full-time, Contract
Pay: From $100.00 per hour
Schedule:",-1.0,"Trobus Technologies,LLC",Remote,-1,-1,-1,-1,-1,-1,1,1,200,200,200.0,Remote,-1,0,1,0,1,0,0,0,0,0,0,0,data scientist,na,529
2,Junior Data Scientist,"About ClimateAi
ClimateAi is on a mission to accelerate resilience in food, water, and energy. The company has launched the first of its kind Resilience-as-a-Service platform in agriculture to help supply chains adapt to climate change. The company was founded at Stanford University and is backed by top VC firms. We are a fast-growing Series-A company looking for passionate individuals who will create solutions for the most important issue of our time.

Culture",5.0,ClimateAI,"San Francisco, CA",1 to 50 Employees,2008,Company - Private,-1,-1,-1,0,0,75,148,111.5,San Francisco,14,0,1,0,0,0,0,0,0,0,0,0,data scientist,junior,465
3,Data Scientist,"What will be your mission?

At Sony Pictures, our mission is to map relevant movie and TV series content to consumers and audiences across transactional, subscription and linear viewing platforms. We’re building data products and visualization tools and insights platform that will predict audience preferences and behaviour for library and new releases to drive growth of engagement and consumption of Sony produced content. Sony produces franchise brands such as Spiderman, Men in Black and Jumanji, through to TV franchises such as Breaking Bad, Blacklist and Better Call Saul.

Our Data team is responsible for aggregating millions of consumer data points to best in class predictive models, consumer trends systems, recommendation engines and more!",4.0,"Sony Pictures Entertainment, Inc.","Culver City, CA",5001 to 10000 Employees,1989,Subsidiary or Business Segment,Motion Picture Production & Distribution,Media,$5 to $10 billion (USD),0,0,83,173,128.0,Culver City,33,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,753
4,Junior Data Scientist Apprentice,"Introduction
As a Junior Data Scientist at IBM, you will work as part of a team to solve business-related problems using data-driven techniques. You will apply the scientific method to business scenarios, clean and prepare data for statistical and machine learning modeling, work with a variety of analytical algorithms to build models that better explain data relationships and predict potential scenarios, translate data insights into business value, and communicate results to difference audiences. You will also master different technologies for model deployment.

Your Role and Responsibilities
Throughout your apprenticeship, you’ll work closely with other experienced data scientists and mentors in an interactive, collaborative environment. You’ll learn the fundamentals of probability, statistics, linear algebra, data preparation, data modeling, and deployment of machine learning models. In addition, you will be introduced to additional concepts, skills and tools including Python, Hadoop, and Spark, presentation skills, communication skills, and you will apply these skills to prepare for and successfully obtain data science experience that may lead to certification as a Junior Data Scientist. IBM Certification as a Junior Data Scientist provides the credentials and career milestone that is earned through demonstrated usage of Data Science tools and methodology through case studies, business references and technical references. Our apprenticeship program will give you the opportunity to build your skills to grow your career as a Junior Data Scientist.



IBM Apprenticeship Program is an official registered apprenticeship recognized by the Department of Labor (DOL). Every graduate of a Registered Apprenticeship program receives a nationally-recognized credential from the DOL.

During the apprenticeship duration, you will be required to complete specific learning hours and on the job training that has been outlined to ensure you are developing the skills and competencies essential to the role. You will be able to learn and grow at your own pace, but we expect most apprentices will complete their learning within 24 months. Once you graduate and receive your certificate from our apprentice program, you will be eligible to apply to available full-time roles at IBM.



An apprenticeship is about learning. We’re seeking candidates who have the following requirements, but we know you’re just getting your career started, and we’re committed to helping you learn and grow. If you are a highly curious individual, with a passion for learning, and a love of mathematics and data, you’re exactly the type of candidate we’re looking for. Data scientists are inquisitive: exploring, asking questions, doing what if analysis, questioning existing assumptions and processes. They are analytically-minded, statistically and mathematically driven.

To be successful, you need:





As an apprentice, you'll join with other apprentices in a local cohort. You'll go through the program together, learning about IBM and the skills you'll be attaining throughout your apprenticeship. Then, you'll work with your managers and mentors to progress through your personal skills roadmap, learning and demonstrating new knowledge and competencies through hands-on application with your project teams. You'll complete milestones along the way, earning digital credentials to validate your skills, and will come back together with other apprentices to participate in on-going training and development focused on your professional and technical skills. Best of all, you are a contributing member of your team, putting forward ideas, taking on responsibilities and making choices about how you get the job done just like any other IBMer.

This position is not eligible for visa sponsorship.

Apprentices must be based in the work location(s) listed or willing to relocate at own expense. Relocation assistance is not available.

ncappx",4.0,IBM,"New York, NY",10000+ Employees,1911,Company - Public,IT Services,Information Technology,$10+ billion (USD),0,0,66,159,112.5,New York,111,1,1,0,1,0,0,1,1,1,0,1,data scientist,junior,3943
5,Data Scientist,"Become a Part of the NIKE, Inc. Team
NIKE, Inc. does more than outfit the world’s best athletes. It is a place to explore potential, obliterate boundaries and push out the edges of what can be. The company looks for people who can grow, think, dream and create. Its culture thrives by embracing diversity and rewarding imagination. The brand seeks achievers, leaders and visionaries. At NIKE, Inc. it’s about each person bringing skills and passion to a challenging and constantly evolving game.
Analytics is a competitive differentiator for Nike and is fundamentally changing how the company serves athletes and consumers around the world. The Nike Commercial Analytics team builds analytic-based solutions to manage marketplace and optimize the supply chain. Using big data, advanced analytics and state-of-the-art technology, the team strives to ensure that Nike gets the right product to the right place at the right time for the consumers.",4.1,Nike,"Beaverton, OR",10000+ Employees,1972,Company - Public,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD),0,1,117,117,117.0,Beaverton,50,0,0,0,0,0,1,0,0,0,0,0,data scientist,na,944
6,BHJOB15656_16794 - Data Scientist,"The recruitment team here at Myticas is looking to hire 2 Data Scientists to assist with building our client's nextgen (next generation) of advanced analytics products using AI, Data Science, and ML (Machine learning).
The Data Scientists we are seeking will collaborate across internal teams to create predictive models and identify opportunities to make informed business decisions and create value for our customer base. The primary responsibilities will be applying a knowledge of statistics, machine learning (ML) programming, data modeling, simulation, and advanced mathematics for recognizing patterns, identify opportunities, posing business questions, and making valuable discoveries leading to prototype development and new product offerings.",3.7,Myticas Consulting,"Chicago, IL",1 to 50 Employees,2016,IT Services,Information Technology,Unknown / Non-Applicable,-1,0,0,62,129,95.5,Chicago,6,0,0,0,1,0,0,1,1,0,0,0,data scientist,na,752
7,Data scientist,"August 31, 2018
Data scientist
Job Requirements:
Conceptual understanding in Machine Learning models like Nai¨ve Bayes, K-Means, SVM, Apriori, Linear/ Logistic Regression, Neural, Random Forests, Decision Trees, K-NN along with hands-on experience in at least 2 of them
Intermediate to expert level coding skills in Python/R. (Ability to write functions, clean and efficient data manipulation are mandatory for this role)
Exposure to packages like NumPy, SciPy, Pandas, Matplotlib etc in Python or GGPlot2, dplyr, tidyR in R",3.8,Avila Trading,"San Francisco, CA",1 to 50 Employees,2017,Company - Private,-1,-1,-1,0,0,92,183,137.5,San Francisco,5,1,1,0,1,0,0,0,0,0,0,0,data scientist,na,524
8,"Data Scientist, Spotify For Artists","Data, Research & Insights
Data Science
Spotify for Artists is the destination for artists and their teams to understand their fans and reach their goals. We give artists the insights and tools they need to connect with their fans and establish a meaningful career on their own terms.
Location
New York or Remote Americas
Job type
Permanent
The Music Product Insights Team is a growing insights community of 30+ Data Scientists and User Researchers who blend their skills to help us craft the next generation of music industry products, bringing insights into every decision we make.",4.2,Spotify,"New York, NY",5001 to 10000 Employees,2006,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,0,0,72,174,123.0,New York,16,0,1,0,0,0,0,0,0,0,0,0,data scientist,na,582
9,Lead Data Scientist,"As a Lead Data Scientist you will provide deep technical and domain expertise across multiple domains including Credit/Risk Modeling, Decision Science in Lending, and a suite of services for Financial Institutions and FinTechs that enable consumers to transact in refined and innovative ways. You will be responsible for developing innovative data science solutions and identifying opportunities to support business and client needs in a quantitative manner and facilitate informed recommendations / decisions.

Role :
Plan and lead data science / machine learning projects within the team

All About You :
In the US, Mastercard is an inclusive Equal Employment Opportunity employer that considers applicants without regard to gender, gender identity, sexual orientation, race, ethnicity, disabled or veteran status, or any other characteristic protected by law. If you require accommodations or assistance to complete the online application process, please contact reasonable_accommodation@mastercard.com and identify the type of accommodation or assistance you are requesting. Do not include any medical or health information in this email. The Reasonable Accommodations team will respond to your email promptly.",4.2,MasterCard,"Salt Lake City, UT",10000+ Employees,1966,Company - Public,Financial Transaction Processing,Finance,$5 to $10 billion (USD),0,0,95,168,131.5,Salt Lake City,56,0,1,0,1,0,0,0,0,1,0,0,data scientist,senior,1214
10,Data Scientist,"Data Scientists develop algorithms and statistical methods that find patterns and relationships in large volumes of data, driving operations and shaping CIA technology investments.
Full time
Starting salary: $72,272 - $176,300*
Higher starting salary possible depending on experience level
Bachelor's degree
Foreign language bonus eligible
About the Job",4.1,Central Intelligence Agency,"Washington, DC",Unknown,1947,Government,Federal Agencies,Government,Unknown / Non-Applicable,0,1,72,176,124.0,Washington,75,0,0,0,0,0,0,1,0,0,0,0,data scientist,na,353
