Job Title,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,hourly,Employer Provided,min salary,max salary,avg salary,State,Age,Python,R,SQL,Machine Learning,Big Data,Statistique,Math,Master,AWS
DATA ANALYST / SCIENTIST (H/F) / Freelance,En binôme avec un développeur Java EE : - Participer à la quête des sources de données pertinentes - Extraire et traduire des données business en données statistiques - Participer à la modélisation et assurer les mises à jour régulières de la base de données - Contrôler la qualité des données - Analyser les informations chiffrées générées par l'activité de l'entreprise et de ses opérateurs clients - Synthétiser et vulgariser les informations pour les rendre accessibles - Proposer des recommandations sur les bases de données à modifier - Outil : Power BI,-1.0,FRISBEE PROFILING,Saint-Maur,De 1 à 50 employés,2016,Entreprise non cotée en bourse,Services informatiques,Informatique,Ne sait pas / non applicable,1,1,88,112,100.0,Saint-Maur,6,0,0,0,0,0,1,0,0,0
Data Scientist H/F,"nöus
umlaut, part of Accenture, est un partenaire mondial de bout en bout de 5000 personnes qui offre des services complets dans tous les secteurs d'activité et qui met en œuvre ses capacités de conseil et de réalisation interdisciplinaires et collaboratives pour améliorer le sort de ses clients et - en plus de cela - pour ajouter de la valeur, de la qualité et de l'attention à leurs organisations et à leurs produits.
notre öffre
vous participerez à la définition et au développement de nouveaux concepts et outils utilisés dans le traitement automatique et l'analyse des big data. Vous serez chargé(e) de :",3.7,"umlaut
",Blagnac,De 1 001 à 5 000 employés,1996,Entreprise non cotée en bourse,Conseils,Services aux entreprises,Ne sait pas / non applicable,0,1,45,45,45.0,Blagnac,26,0,0,0,0,1,0,0,0,0
Data Scientist (H/F),"Date Limite Candidature : lundi 14 mars 2022
Assurez-vous que votre profil candidat soit correctement renseigné avant de postuler. Les informations de votre profil complètent celles associées à chaque candidature. Afin d’augmenter votre visibilité sur notre Portail Emploi et ainsi permettre aux recruteurs de consulter votre profil candidat, vous avez la possibilité de déposer votre CV dans notre CVThèque en un clic !
Informations générales
Référence : UMR6205-EVAGOU-001
Lieu de travail : VANNES
Date de publication : lundi 21 février 2022
Type de contrat : CDD Scientifique
Durée du contrat : 24 mois
Date d'embauche prévue : 1 avril 2022
Quotité de travail : Temps complet
Rémunération : 2100 et 2400 €
Niveau d'études souhaité : Bac+5
Expérience souhaitée : Indifférent
l'évaluation d'indicateurs techniques permettant d'expliquer les variations des
actifs étudiés.
évolutions à court et moyen terme.
les modèles de gestions d'actifs développés.
sur les marchés de cryptomonnaies sous des délais courts (de l'ordre d'une
dizaine de secondes), et ce, en s'adaptant aux données observées en continue.
de machine learning ;
sein du laboratoire LMBA (Vannes).",3.8,"CNRS
",Vannes,Plus de 10 000 employés,1939,Enseignement supérieur/universitaire,Organismes fédéraux,Gouvernement,Entre 50 et 100 millions de dollars US,0,1,25,29,27.0,Vannes,83,0,1,0,1,0,0,0,0,0
Data Scientist H/F,"Informations générales

La Direction Générale du Soutien Militaire (DGSM) assure la mise en œuvre et la maintenance des avions militaires et de leur environnement avec un soutien personnalisé pour chaque client.
La composante Transformation Numérique participe au développement, à la mise en œuvre et au déploiement de l'environnement Big Data Militaire. Cet environnement a pour objectif d'aider à l'amélioration de la disponibilité de nos avions et est une composante incontournable des contrats de maintenance passés avec nos clients militaires.
Au sein de l'équipe Transformation Numérique vous participez aux travaux de Data Science visant à la définition de la maintenance prévisionnelle pour optimiser au travers d'algorithmes la disponibilité de nos avions militaires (Rafale, M2000, ATL).

Au travers d'outils de Data Science (python, spark) et d'un Big Data Studio vous serez chargé de :


Vous êtes force de proposition dans l'évolution du Big Data Studio.
Vous travaillez en mode projet avec les équipes métier de la DGSM et de la R&D. L'intégration des personnes de plusieurs directions permettant de combiner les aspects Métier du soutien, Data Science et Informatique.

Vous serez également responsable du développement des compétences Data Science de la DGSM et contribuerez à la communauté IA/ Data Science Dassault Aviation.",3.7,"Dassault Aviation
",Saint-Cloud,Plus de 10 000 employés,1929,Entreprise cotée en bourse,-1,-1,-1,0,0,36,54,45.0,Saint-Cloud,93,1,1,0,0,1,0,0,0,0
DATA SCIENTIST CYBERSECURITE H/F,"Contrat : CDI
Rémunération : Selon profil
Lieu : Toulouse et Paris
ITrust cherche ses JEDI !
Start-up devenue grande, ITrust est le leader européen en Intelligence artificielle appliquée à la cybersécurité défensive : véritable incubateur de talents, ITrust est à la fois expert en sécurité (conseil, audit, RedTeam, MSSP, formation) et éditeur de logiciels innovants avec IKare (scanner de vulnérabilités) et Reveelium (SIEM détecteur d’attaques inconnues, APT (Advanced Persistent Threat) et comportements malveillants par Machine Learning).
Résolument tournée vers l’international ITrust poursuit son développement avec l’ouverture de 2 nouveaux terrains de jeux : une école, l’AN21 pour former de jeunes padawans et un centre de recherche en IA pour contrer la « Menace Fantôme ».
Véritable visionnaire, à l’image de sa direction et de ses collaborateurs l’entreprise est animée par la passion des sujets de la cybersécurité et de l’intelligence artificielle.
ITrust est une entreprise innovante qui propose un environnement de travail stimulant et dynamique au sein d’une équipe d’experts drivés par un sentiment de convivialité, de solidarité et de confiance. Ces derniers ont toutes les cartes en main pour servir leurs propres ambitions et celles de l’entreprise.
Au-delà de son département de Professional services, SOC (Security Operations Center) et de Recherche & Développement, ITrust c’est aussi et surtout une famille, à la recherche de ses futurs membres !

Vous serez amené à intervenir et à développer vos compétences sur les thématiques suivantes :",2.7,"ITrust
",Toulouse,De 1 à 50 employés,2007,Entreprise non cotée en bourse,Services informatiques,Informatique,Moins d''un million de dollars US,0,0,36,55,45.5,Toulouse,15,0,1,0,1,0,0,0,0,0
"Data Scientist (full time, all seniority levels) - QuantumBlack","Who You'll Work With
Based in Paris and working across the region, as a consultant data scientist you will work closely with our clients, data engineers and all types of McKinsey consultants on interdisciplinary projects, using maths, stats and machine learning to derive structure and knowledge from raw data across various industry sectors.
This hybrid client-facing/technical role will allow you to use state of the art technologies to solve highly impactful business problems, whilst also leveraging your strong communication skills to convey complex intractable ideas to non-technical audiences.
Who you are",4.4,"McKinsey & Company
",Paris,Plus de 10 000 employés,1926,Entreprise non cotée en bourse,Conseils,Services aux entreprises,Ne sait pas / non applicable,0,0,70,89,79.5,Paris,96,0,0,0,1,0,0,1,0,0
Data Scientist (F ou H),"Les équipes Transilien de SNCF offrent un service complet à 3 millions de voyageurs quotidiens dans 381 gares d’Ile-de-France, sur 14 lignes ferrées et 16 lignes de bus Noctilien.
Vos missions
Au sein de Transilien, les collaborateurs de de la DSI ont pour objectif d’apporter des services numériques innovants pour contribuer aux enjeux du groupe SNCF en construisant les SI de demain et en les maintenant opérationnels. L’équipe Big DATA Transilien a pour mission de réaliser les applications qui font appel aux technologies Big Data et Data Viz pour les différents métiers de Transilien (Info Voyageurs , Production ou distribution) . Elle gère à la fois le BUILD et le RUN de ces applicatifs, dont l’exploitation est assurée par DEA.",3.5,"SNCF
",Saint-Denis,Plus de 10 000 employés,1938,Entreprise cotée en bourse,-1,-1,-1,0,0,36,54,45.0,Saint-Denis,84,0,1,0,0,1,0,0,0,0
Data Scientist (H/F),"Syngenta figure parmi les leaders mondiaux pour ses activités. Le groupe emploie plus de 28000 personnes dans plus de 90 pays qui n’ont qu’un seul objectif: exprimer le potentiel des plantes. Par nos capacités scientifiques de premier plan, notre présence mondiale et notre engagement en faveur des clients, nous aidons à accroître les rendements et la rentabilité des cultures, à protéger l’environnement et à améliorer la santé et la qualité de vie.
Plus d’informations sur www.syngenta.com
Nous recherchons un(e) Data Scientist, pour rejoindre l’équipe Support Commercial et Planning dans le cadre d’un CDI. Nous vous attendons pour un démarrage dans les meilleurs délais. Le poste est localisé à Guyancourt (station Saint Quentin en Yvelines, RER C, Ligne U et N).",4.2,"Syngenta
",Guyancourt,Plus de 10 000 employés,2000,Entreprise non cotée en bourse,Production alimentaire,Agriculture et sylviculture,Entre 10 et 25 millions de dollars US,0,0,42,78,60.0,Guyancourt,22,0,1,0,0,0,0,0,0,0
Audio data scientist,"Vous aimez les nouvelles technologies et les technologies audio en particulier? Venez rejoindre une équipe d’experts de haut niveau appliquant les technologies de machine learning pour le traitement sonore.
Afin de développer son offre d’application d’outils de reconnaissance sonore, Wavely recherche un data scientist pour rejoindre son équipe technique. Celle-ci est dédiée au développement d’algorithmes de reconnaissance et de classification automatique des signaux sonores pour les intégrer au sein de capteurs acoustiques. Au sein de cette équipe :
Vous développez des outils de traitement du signal temps-réel pour la détection et la classification d’événements acoustiques.",4.5,"Wavely SAS
",Villeneuve-d'Ascq,De 1 à 50 employés,2016,Entreprise non cotée en bourse,Solutions logicielles et réseau d''entreprise,Informatique,Ne sait pas / non applicable,0,1,35,60,47.5,Villeneuve-d'Ascq,6,0,0,0,1,0,0,0,0,0
Data Scientist,"Gather and analyze customer needs to propose solutions
Conduct statistical studies
Conduct research to propose new machine learning models to improve the results of predictive and imaging models
Work with all team members to prototype and develop new services
Provide deliverables such as PoCs, presentations, and technical papers.
yöu
Master's degree in engineering, computer science, statistics or mathematics.",3.7,"umlaut AG
",Toulouse,De 1 001 à 5 000 employés,1996,Entreprise non cotée en bourse,Conseils,Services aux entreprises,Ne sait pas / non applicable,0,0,33,40,36.5,Toulouse,26,0,0,0,1,0,1,1,1,0
